ITERATIONS,TIME_START,TIME_END,DURATION,MIN_HR1,MAX_HR1,AVG_HR1,MIN_HR2,MAX_HR2,AVG_HR2
1,0:1:15.5,0:1:23.2,7.7411,82,85,83.6667,82,85,83.6667
2,0:1:26.2,0:1:33.9,7.7411,81,85,82.3333,80,85,82.3333
3,0:1:36.8,0:1:44.5,7.7411,80,83,81,80,83,81
0,0:1:15.5,0:1:44.5,7.7411,81,84.3333,82.3333,80.6667,84.3333,82.3333
