ITERATIONS,TIME_START,TIME_END,DURATION,MIN_HR1,MAX_HR1,AVG_HR1,MIN_HR2,MAX_HR2,AVG_HR2
1,0:0:9.7,0:0:18.4,8.7087,73,77,74.625,73,77,74.625
2,0:0:22.3,0:0:31.9,9.6764,72,75,74.5556,72,75,74.5556
3,0:0:36.8,0:0:44.5,7.7411,73,74,73.1429,73,74,73.1429
4,0:0:47.5,0:0:57.1,9.6764,69,73,71.5714,59,73,69.8889
0,0:0:9.7,0:0:57.1,8.9506,71.75,74.75,73.4737,69.25,74.75,73.0531
