ITERATIONS,TIME_START,TIME_END,DURATION,MIN_HR1,MAX_HR1,AVG_HR1,MIN_HR2,MAX_HR2,AVG_HR2
1,0:0:1.9,0:0:7.8,6.006,82,85,83.1111,82,85,83.1111
2,0:0:24.7,0:0:31.2,6.6066,80,82,80.25,80,82,80.25
0,0:0:1.9,0:0:31.2,6.3063,81,83.5,81.6806,81,83.5,81.6806
