ITERATIONS,TIME_START,TIME_END,DURATION,MIN_HR1,MAX_HR1,AVG_HR1,MIN_HR2,MAX_HR2,AVG_HR2
1,0:0:2.5,0:0:4.2,1.8018,91,91,91,91,91,91
2,0:0:5.5,0:0:9.0,3.6036,93,93,93,91,93,91.8
3,0:0:23.5,0:0:28.8,5.4054,100,102,101,100,102,101
0,0:0:2.5,0:0:28.8,3.6036,94.6667,95.3333,95,94,95.3333,94.6
